YAL002W,0,0,0,0,0,1,0.134,50.93,0.372,1274,-0.090345,0.2,0,24,1,0.62427944,0,0.059607843,0.066666667,0,0,3,0
YAL005C,0,1,0,0,0,0,0.709,28.36,0.44,642,-0.426012,13.4,31,13,1,0.614392514,0,0.020217729,0.026438569,0,1,6,0
YAL007C,0,0,1,0,0,0,0.235,49.46,0.372,215,0.147907,2.4,1,13,1,0.600986955,0,0.050925926,0.037037037,2,0,4,0
YAL009W,0,0,0,1,0,0,0.111,58.17,0.414,259,-0.32085,0.6,0,4,1,0.590166071,0,0.038461538,0.061538462,2,0,4,0
YAL010C,1,0,0,0,0,0,0.119,50.65,0.368,493,-0.473834,0.3,0,4,1,0.589345056,0,0.050607287,0.060728745,0,0,4,0
YAL011W,0,0,0,1,0,0,0.148,53.63,0.417,625,-1.10736,0.4,2,5,1,0.574293124,0,0.02715655,0.059105431,0,0,3,0
YAL012W,0,1,0,0,0,0,0.42,35.03,0.488,394,-0.144416,9.2,0,43,1,0.568211535,0,0.025316456,0.048101266,0,0,5,0
YAL014C,0,1,0,1,0,0,0.1,54.65,0.451,255,-0.507451,1.1,0,2,1,0.560470541,0,0.02734375,0.0390625,1,0,3,0
YAL015C,0,1,0,1,0,0,0.12,57.06,0.435,399,-0.349373,0.7,0,19,1,0.556487101,0,0.04,0.08,0,0,3,0
YAL016W,0,1,0,1,0,0,0.177,46.08,0.383,635,0.085512,3.2,0,80,1,0.542486414,0,0.029874214,0.04245283,0,0,3,0
YAL017W,0,1,0,0,0,0,0.126,52.78,0.389,1356,-0.471534,0.4,3,65,1,0.522269475,0,0.032424466,0.058953574,0,0,4,0
YAL019W,0,0,0,1,0,0,0.163,51.9,0.406,1131,-0.766843,0.9,4,6,1,0.499220253,0,0.034452297,0.050353357,0,0,4,0
YAL021C,0,1,0,0,0,0,0.137,57.15,0.457,837,-0.559976,1.3,100,41,1,0.492443626,0,0.04176611,0.079952267,0,2,3,0
YAL024C,0,1,0,0,0,0,0.123,51.52,0.371,1435,-0.603136,0.2,0,47,1,0.459920157,0,0.032729805,0.054317549,0,0,3,0
YAL026C,0,0,0,0,0,1,0.188,47.24,0.376,1355,-0.212546,0.7,0,5,1,0.433096007,0,0.048672566,0.063421829,9,0,3,0
YAL027W,0,0,0,1,0,0,0.112,54.59,0.384,261,-0.255173,0.6,0,25,1,0.411332606,0,0.030534351,0.057251908,0,0,3,0
YAL029C,0,1,0,0,0,1,0.15,51.96,0.372,1471,-0.328076,1.1,5,95,1,0.400833178,0,0.049592391,0.060461957,0,0,5,0
YAL031C,0,1,0,0,0,0,0.123,54.06,0.401,760,-0.455921,0.4,0,1,1,0.378075003,0,0.043363995,0.067017083,0,0,3,0
YAL032C,0,0,0,1,0,0,0.139,58.71,0.453,379,-0.826121,0.1,0,32,1,0.366967416,0,0.028947368,0.047368421,0,0,4,1
YAL033W,0,1,0,1,0,0,0.093,61,0.416,173,-0.242774,1.3,0,8,1,0.359287238,0,0.040229885,0.074712644,0,0,3,1
YAL035W,0,1,0,0,0,0,0.355,40.82,0.413,1002,-0.740918,8.8,89,154,1,0.332011312,0,0.024925224,0.041874377,0,0,4,0
YAL036C,0,1,0,0,0,0,0.239,43.1,0.437,369,-0.131707,3.9,1,37,1,0.330816714,0,0.035135135,0.051351351,0,0,6,0
YAL038W,0,1,0,0,0,0,0.893,24.86,0.463,500,-0.148,50.4,1,2,1,0.311850845,0,0.043912176,0.051896208,0,0,5,1
YAL041W,0,1,0,1,0,0,0.128,53.83,0.389,854,-0.477635,0.4,0,24,1,0.272989492,0,0.029239766,0.070175439,0,0,4,1
YAL043C,0,0,0,1,0,0,0.13,54.78,0.46,785,-0.362548,1.2,0,101,1,0.265222434,0,0.027989822,0.055979644,0,0,3,1
YAL044C,1,0,0,0,0,0,0.164,44.95,0.482,170,-0.452353,10.6,0,2,1,0.253971495,0,0.035087719,0.064327485,0,0,4,0
YAL047C,0,0,0,0,0,1,0.143,55.92,0.365,622,-0.777814,0.2,0,23,1,0.246999387,0,0.017656501,0.043338684,0,0,3,0
YAL049C,0,1,0,0,0,0,0.172,52.92,0.42,246,-0.081301,2.5,0,4,1,0.228485293,0,0.048582996,0.072874494,0,0,4,0
YAL053W,0,0,0,0,0,1,0.166,53.54,0.42,783,0.229119,1.9,0,5,1,0.199389235,0,0.045918367,0.048469388,9,0,6,0
YAL054C,0,1,0,1,0,0,0.255,46.79,0.454,713,-0.271949,0.3,1,2,1,0.195579554,0,0.053221289,0.065826331,0,2,5,0
YAL055W,0,0,0,0,0,1,0.087,52.19,0.426,180,-0.298333,0.8,0,1,1,0.183220896,0,0.055248619,0.071823204,1,0,1,0
YAL056W,1,1,0,0,0,0,0.113,53.69,0.395,880,-0.459091,0.8,0,2,1,0.170545128,0,0.049943246,0.077185017,0,0,4,0
YAL058W,0,0,1,0,0,0,0.109,56.55,0.434,502,-0.344821,0.6,0,1,1,0.162747662,0,0.039761431,0.091451292,1,0,4,0
YAL059W,0,0,0,1,0,0,0.174,51.86,0.403,212,-0.830189,3.4,0,10,1,0.158599149,0,0.009389671,0.023474178,0,0,4,0
YAL060W,0,1,0,0,0,0,0.224,51.8,0.452,382,-0.049738,1.8,0,1,1,0.152717384,0,0.044386423,0.114882507,0,0,4,0
YAL061W,0,1,0,1,0,0,0.144,52.57,0.484,417,-0.235252,0.2,0,2,1,0.14530219,0,0.062200957,0.112440191,0,0,3,0
YAR002W,0,0,0,0,0,1,0.143,51.05,0.395,539,-0.832653,1.2,0,64,1,0.661420572,0,0.027777778,0.022222222,0,0,3,0
YAR003W,0,0,0,1,0,0,0.129,50.27,0.401,426,-0.288498,1.1,0,16,1,0.673357862,0,0.058548009,0.088992974,0,0,4,0
YAR007C,0,0,0,1,0,0,0.206,50.16,0.396,621,-0.558937,0.9,0,105,1,0.68905705,0,0.040192926,0.049839228,0,0,5,1
YAR009C,0,0,0,0,0,1,0.151,49.97,0.372,1196,-0.611371,12.8,53,27,1,0.713240053,0,0.055973266,0.068504595,0,0,4,0
YAR014C,0,1,0,1,0,0,0.12,55.81,0.418,707,-1.067468,0.9,0,85,1,0.733561248,0,0.033898305,0.052259887,0,0,3,0
YAR019C,0,0,0,0,0,1,0.138,57.37,0.401,974,-0.113655,0.2,0,47,1,0.760785046,0,0.048205128,0.066666667,0,0,4,1
YAR027W,0,0,0,0,0,0,0.128,55.31,0.374,235,0.093617,1.3,8,4,1,0.798278042,0,0.059322034,0.088983051,2,0,1,0
YAR071W,0,0,0,0,1,0,0.328,41.21,0.423,467,-0.394219,0.4,4,1,1,0.979366038,0,0.079059829,0.070512821,0,0,4,0
YBL001C,0,1,0,1,0,0,0.243,44.94,0.394,104,-0.201923,5,0,3,2,0.291993128,0,0.038095238,0.104761905,0,0,3,0
YBL002W,0,0,0,1,0,0,0.563,33.31,0.42,131,-0.620611,8.7,1,169,2,0.290795301,0,0.037878788,0.03030303,0,0,6,0
YBL003C,0,0,0,1,0,0,0.544,31.6,0.414,132,-0.315909,24.5,1,163,2,0.289934439,0,0.022556391,0.030075188,0,0,6,0
